obj,rel,sbj
0,0,781
0,0,710
0,0,794
0,0,793
0,0,728
1,0,688
1,0,787
1,0,677
1,0,791
1,0,673
1,0,815
2,0,813
2,1,707
2,0,755
2,0,721
3,0,842
3,0,803
3,0,672
3,0,722
3,0,780
3,0,679
4,0,815
4,0,835
4,0,753
4,0,736
4,0,825
5,0,795
5,0,772
5,0,750
5,0,719
6,0,843
6,0,786
7,0,836
7,0,793
8,0,815
8,0,740
8,0,745
8,0,672
9,0,687
9,0,792
10,0,724
10,0,802
11,0,718
11,0,710
11,0,721
11,0,791
11,0,813
12,0,769
12,0,825
12,0,783
12,0,729
12,1,837
13,0,756
13,0,811
13,0,765
13,0,692
14,0,821
14,0,825
14,0,800
14,0,757
14,0,761
14,0,795
14,0,676
15,0,828
15,0,829
15,0,762
15,0,661
15,0,696
16,0,802
17,0,771
17,0,691
17,0,702
17,0,726
19,1,779
20,0,838
20,0,735
20,0,726
20,0,842
21,0,757
21,1,703
22,0,807
22,0,826
23,0,728
23,1,746
23,0,809
23,1,692
23,0,766
24,0,811
24,1,805
24,0,780
25,0,698
25,1,686
25,0,754
26,0,806
26,0,765
26,0,798
26,0,843
27,0,827
27,0,741
29,0,726
29,1,752
30,0,767
30,1,683
30,1,752
30,0,667
30,1,835
31,0,787
31,0,751
33,0,690
33,0,732
33,0,827
34,0,738
34,0,770
34,0,707
34,0,749
35,0,808
35,0,695
36,0,673
36,0,725
36,0,803
37,0,666
37,0,732
37,0,716
38,0,817
38,0,819
39,0,759
39,0,740
39,0,715
40,0,815
40,1,843
40,0,749
40,0,756
42,0,802
44,0,763
45,0,819
46,0,793
46,0,721
46,0,666
47,0,678
47,0,731
47,0,825
47,0,722
48,0,835
50,0,716
50,0,796
50,1,755
51,0,697
51,0,841
52,0,769
52,0,717
52,0,661
52,0,786
53,0,681
54,0,842
54,0,666
55,0,816
55,0,802
55,0,745
55,0,743
55,0,724
55,0,728
56,0,697
56,0,755
56,0,717
56,0,676
57,0,738
58,0,802
58,0,788
58,0,826
58,0,774
58,0,771
59,0,738
61,0,714
61,1,681
61,0,666
62,0,806
62,0,738
62,0,739
63,1,783
63,0,779
63,0,690
64,0,771
64,0,695
64,0,725
64,0,742
65,0,758
65,0,796
65,0,743
66,0,744
66,0,727
67,0,681
68,0,814
68,0,679
68,1,672
69,0,768
69,0,675
69,0,728
70,0,749
70,0,661
70,0,728
71,1,724
71,0,763
71,0,728
72,1,705
72,0,785
72,0,822
72,0,687
74,0,764
75,0,688
76,0,793
76,0,785
77,0,810
77,0,785
77,0,750
77,0,825
77,0,801
77,1,795
77,0,683
77,0,714
77,0,693
78,0,842
79,0,747
79,1,831
79,0,738
80,0,698
80,0,820
80,0,755
81,0,728
81,0,763
81,0,683
81,0,713
82,0,752
82,0,796
82,0,798
83,0,693
83,0,685
83,0,771
83,1,765
83,0,810
83,0,770
83,0,824
84,0,729
84,0,735
85,0,698
85,0,683
86,0,773
86,1,765
86,0,718
87,0,684
88,0,764
88,0,801
89,0,775
89,1,750
89,0,714
90,0,729
90,0,716
90,1,730
91,0,798
91,0,807
92,0,705
92,0,773
93,0,738
93,0,705
95,0,788
96,0,783
96,0,842
96,0,766
96,0,799
96,0,775
97,0,732
97,1,662
97,0,680
98,0,806
98,0,788
99,0,745
99,0,739
100,0,843
100,1,740
100,0,801
100,1,823
100,0,835
101,0,693
101,1,680
102,0,771
103,0,767
103,1,830
