obj,rel,sbj
107,0,671
107,0,668
108,0,668
109,0,672
110,0,668
111,0,668
112,0,668
113,0,673
114,0,674
115,0,668
116,0,668
117,0,668
118,0,668
114,0,668
108,0,673
117,0,673
118,0,673
114,0,673
119,0,668
120,0,668
121,0,668
122,0,668
123,0,668
124,0,668
138,0,675
139,0,676
140,0,676
140,0,677
144,0,678
145,0,662
146,0,679
147,0,679
148,0,679
149,0,680
150,0,680
151,0,680
152,0,680
148,0,680
153,0,681
153,0,680
153,0,682
153,0,679
150,0,679
148,0,681
154,0,662
213,0,685
215,0,662
216,0,662
231,0,662
232,0,662
233,0,662
234,0,662
235,0,662
236,0,662
237,0,662
238,0,687
239,0,687
240,0,689
241,0,690
242,0,691
243,0,689
243,0,692
244,0,692
245,0,692
246,0,692
247,0,692
248,0,692
249,0,692
250,0,692
251,0,692
252,0,692
243,0,693
244,0,693
245,0,693
246,0,693
247,0,693
248,0,693
249,0,693
250,0,693
251,0,693
252,0,693
253,0,692
253,0,689
265,0,662
272,0,690
272,0,694
273,0,694
271,0,694
266,0,694
267,0,694
268,0,694
269,0,694
270,0,694
274,0,694
275,0,694
275,0,692
313,0,692
314,0,692
315,0,692
316,0,690
313,0,690
317,0,690
319,0,690
320,0,690
324,0,696
373,0,682
374,0,682
373,0,780
374,0,780
389,0,811
390,0,811
393,0,697
408,0,698
408,0,699
414,0,665
415,0,665
416,0,665
417,0,662
418,0,662
419,0,662
421,0,663
421,0,661
422,0,700
423,0,662
424,0,700
480,0,680
481,0,680
482,0,680
481,0,679
506,0,668
507,0,668
508,0,668
509,0,668
510,0,668
511,0,668
541,0,701
541,0,702
542,0,702
543,0,701
544,0,663
544,0,700
544,0,703
544,0,662
549,0,663
550,0,703
545,0,703
546,0,703
547,0,703
548,0,703
568,0,685
569,0,685
578,0,667
579,0,667
578,0,700
579,0,700
580,0,665
596,0,668
596,0,667
597,0,673
598,0,673
597,0,668
598,0,668
597,0,671
598,0,671
603,0,704
604,0,704
605,0,704
606,0,704
607,0,704
608,0,704
609,0,704
610,0,704
116,1,737
116,0,674
116,0,672
116,0,673
124,1,673
124,1,671
110,1,671
110,1,674
122,0,674
107,0,673
120,1,671
125,0,668
125,0,674
108,1,674
126,0,674
126,1,673
126,0,668
126,1,672
