obj,rel,sbj
574,0,704
612,0,679
319,0,727
329,0,776
62,0,806
520,0,784
169,0,807
238,0,827
101,0,693
65,0,758
63,1,783
660,0,703
97,0,732
317,0,703
568,0,693
305,0,731
553,0,764
24,0,811
36,0,673
364,0,806
496,0,708
285,0,676
341,0,844
218,0,831
259,0,769
561,1,755
65,0,796
443,0,815
660,0,793
428,0,834
261,0,742
233,0,822
175,0,704
21,0,757
615,0,793
278,0,828
113,1,779
81,0,728
68,0,814
206,0,762
349,0,703
538,0,681
484,0,783
34,0,738
352,0,719
287,0,833
362,0,784
12,0,769
566,0,666
157,0,815
172,0,832
439,0,730
109,0,812
601,0,831
331,0,666
355,0,835
165,0,725
203,0,820
352,0,691
258,1,664
20,0,838
51,0,697
204,0,694
287,0,730
473,0,819
397,0,772
466,0,714
79,0,747
264,0,834
34,0,770
260,0,787
245,0,741
642,0,688
323,0,787
562,1,667
120,0,841
431,0,772
316,0,772
38,0,817
233,0,691
540,0,800
14,0,821
567,0,735
172,0,759
278,0,704
507,0,804
205,0,689
441,0,684
532,0,713
490,0,774
599,0,836
437,0,799
438,0,681
371,0,816
310,0,793
463,0,670
175,0,736
594,0,778
610,0,780
257,0,818
109,0,818
346,1,771
325,0,681
162,0,738
17,0,771
631,0,671
149,0,707
59,0,738
45,0,819
641,0,664
642,0,739
47,0,678
321,1,832
508,0,780
654,0,743
505,0,716
116,0,834
68,0,679
86,0,773
169,0,818
328,0,734
401,0,786
201,0,730
163,1,775
1,0,688
509,0,841
2,0,813
6,0,843
133,0,809
547,0,783
485,0,832
153,0,797
105,0,695
136,0,722
424,0,776
486,0,784
174,1,809
387,0,739
184,0,699
90,0,729
69,0,768
313,0,799
186,0,706
382,0,765
605,1,690
478,0,839
493,0,718
279,0,825
95,0,788
194,0,666
437,1,819
171,0,823
309,0,788
321,1,709
390,0,702
150,0,789
232,0,781
233,0,672
523,0,703
247,1,732
295,0,723
34,0,707
618,1,796
519,0,723
378,0,724
230,0,724
412,0,682
422,0,669
549,0,803
653,0,746
507,0,762
419,0,661
3,0,842
581,0,774
246,0,720
27,0,827
499,0,672
424,0,746
614,0,815
280,0,825
262,0,666
495,0,744
415,0,775
631,0,688
608,0,778
609,0,738
77,0,810
131,0,803
320,0,791
187,0,772
372,0,696
93,0,738
606,0,741
8,0,815
323,0,679
465,0,824
324,0,789
113,0,783
433,0,670
506,0,691
563,1,821
126,0,797
556,0,827
247,0,728
25,0,698
660,0,831
462,0,748
99,0,745
500,0,682
259,1,717
478,0,744
47,0,731
638,0,823
422,0,787
371,0,685
390,0,766
349,0,687
481,0,661
3,0,803
291,0,664
457,0,820
280,0,736
629,0,679
103,0,767
156,0,795
620,0,770
247,0,802
539,1,744
523,0,718
543,0,816
649,0,689
209,0,712
508,0,674
279,0,769
540,0,675
85,0,698
227,0,733
592,0,781
422,0,720
285,0,748
577,0,810
397,0,702
341,0,798
390,0,721
619,0,763
631,0,707
572,1,779
344,0,747
108,0,667
159,0,721
533,0,677
395,0,815
655,0,799
128,1,777
223,0,777
375,0,684
10,0,724
554,0,665
190,0,715
446,0,695
14,0,825
200,0,740
365,0,729
390,0,746
226,0,751
136,0,824
311,0,814
183,0,738
309,0,734
625,0,709
231,0,797
318,0,746
249,0,835
345,0,817
335,0,794
515,0,788
98,0,806
561,0,776
521,0,671
84,0,729
77,0,785
593,0,772
468,0,767
12,0,825
407,0,693
84,0,735
108,0,728
248,0,670
400,1,734
610,1,837
533,0,777
473,0,821
137,0,839
64,0,771
24,1,805
474,0,726
207,0,814
157,0,672
14,0,800
327,0,843
451,0,751
294,0,815
85,0,683
33,0,690
100,0,843
15,0,828
480,0,784
108,0,788
251,0,746
393,0,818
206,0,767
132,0,735
607,0,683
287,0,776
366,0,814
30,0,767
615,0,776
294,0,800
125,1,686
206,0,712
113,1,837
288,0,717
347,0,709
625,0,747
379,0,760
251,0,828
207,0,770
221,0,782
351,0,676
466,0,769
608,0,840
504,0,727
234,0,753
103,1,830
471,1,678
244,0,688
62,0,738
212,0,763
164,0,668
280,0,681
634,0,842
55,0,816
220,0,813
508,1,831
246,1,825
115,0,805
540,1,721
132,1,748
71,1,724
115,0,698
179,0,683
660,1,663
309,0,783
578,0,772
444,1,758
340,0,758
380,0,841
228,0,686
83,0,693
247,0,677
126,0,699
625,0,773
494,0,755
609,1,746
0,0,781
305,0,750
269,0,783
74,0,764
526,0,716
369,0,829
353,0,740
625,0,809
456,0,698
255,0,806
424,0,714
17,0,691
137,0,776
385,0,823
72,1,705
645,0,754
218,0,713
523,0,714
486,0,701
323,0,765
364,0,733
12,0,783
581,0,699
55,0,802
326,0,747
303,0,789
274,0,687
290,1,714
67,0,681
511,0,707
448,0,810
436,0,665
406,0,789
124,0,825
377,0,674
328,0,680
615,0,723
12,0,729
292,0,739
114,0,731
114,0,679
639,0,708
643,0,824
279,0,760
464,0,773
266,0,723
518,0,712
635,0,674
135,0,705
585,0,765
160,0,690
31,0,787
391,0,692
213,0,760
638,0,825
231,0,708
338,0,704
297,0,725
87,0,684
266,0,841
83,0,685
4,0,815
286,0,698
336,0,803
628,1,704
66,0,744
205,0,703
657,0,674
541,0,793
595,0,661
339,0,661
149,0,762
462,0,681
116,0,725
171,0,832
465,0,695
372,0,795
508,0,704
321,0,729
450,0,756
481,0,776
77,0,750
627,0,725
449,1,725
488,0,755
509,0,817
24,0,780
516,0,798
151,1,707
356,0,683
81,0,763
154,0,749
406,0,662
342,0,758
283,0,701
52,0,769
134,0,744
572,0,756
533,0,691
92,0,705
165,0,823
632,0,665
179,0,754
505,0,752
449,0,708
282,0,716
633,0,818
17,0,702
576,0,668
633,0,703
275,0,676
322,0,671
146,0,686
246,0,830
618,1,798
548,0,835
256,0,777
487,1,724
456,0,799
621,0,730
390,0,807
186,0,784
362,0,767
398,0,749
90,0,716
498,0,794
502,0,691
196,0,719
496,1,774
533,0,790
221,0,839
367,0,743
355,0,722
484,0,765
267,0,729
501,0,752
372,0,800
540,0,773
315,0,741
9,0,687
33,0,732
89,0,775
216,0,712
389,0,838
606,1,801
98,0,788
483,0,826
15,0,829
657,0,829
453,0,755
455,1,778
611,0,668
229,0,797
185,0,784
398,0,744
389,0,812
467,0,778
293,0,670
583,0,705
179,0,745
254,0,698
228,0,721
264,1,844
552,0,700
479,0,721
609,0,695
114,0,704
299,1,673
120,0,677
620,0,703
96,0,783
3,0,672
7,0,836
331,1,810
436,0,760
363,0,720
594,0,781
339,0,741
481,0,750
190,0,777
123,0,843
594,0,723
389,0,795
362,0,675
367,0,795
528,0,756
373,0,782
468,0,744
63,0,779
613,0,781
630,0,843
648,0,842
58,0,802
96,0,842
383,0,672
100,1,740
97,1,662
352,0,690
557,0,677
97,0,680
203,0,665
484,0,773
207,0,785
14,0,757
236,0,840
327,0,662
368,0,789
650,1,819
534,0,753
104,0,667
598,0,838
517,0,680
432,0,688
286,0,787
578,0,729
196,0,768
460,0,705
559,0,757
46,0,793
50,0,716
212,0,762
50,0,796
332,0,731
379,0,741
83,0,771
227,0,699
160,0,756
71,0,763
210,0,725
159,0,742
492,0,692
273,0,833
545,0,681
172,0,687
635,0,683
193,0,824
514,0,795
642,0,715
338,0,717
88,0,764
233,0,702
69,0,675
111,0,724
86,1,765
382,0,705
469,0,673
234,0,803
396,0,773
454,1,827
263,0,669
526,0,775
51,0,841
450,0,671
658,0,760
180,0,752
141,0,753
315,0,841
340,0,819
29,0,726
182,0,671
566,1,682
574,0,675
11,0,718
100,0,801
379,0,778
246,0,745
382,0,781
524,0,672
152,1,800
313,0,724
242,0,682
104,0,814
509,0,800
191,0,790
350,0,728
138,0,817
223,0,694
292,0,786
224,1,747
396,0,839
596,0,814
591,1,662
534,0,787
209,0,756
56,0,697
235,0,777
403,1,815
212,0,803
362,0,706
10,0,802
274,0,711
44,0,763
566,0,726
525,0,665
101,1,680
617,0,709
163,0,839
113,0,787
36,0,725
572,1,755
514,0,808
622,1,711
368,0,745
625,0,796
345,0,829
272,0,722
135,1,745
23,0,728
617,0,682
333,1,681
498,0,738
355,0,662
327,0,800
163,0,739
408,0,744
201,0,831
591,0,837
273,0,706
487,0,835
150,0,704
213,1,717
332,0,792
252,0,732
228,0,819
572,0,823
589,1,678
522,0,810
624,0,781
488,0,788
304,0,824
40,0,815
207,0,687
46,0,721
625,0,716
259,1,715
100,1,823
277,0,702
1,0,787
145,0,808
257,0,689
546,0,822
355,0,815
163,0,711
320,0,672
605,0,724
323,0,705
535,0,774
126,0,693
283,0,821
213,0,730
632,0,829
46,0,666
659,0,735
445,0,670
23,1,746
163,0,819
188,0,666
1,0,677
352,1,686
594,0,722
405,0,807
182,0,817
132,0,755
330,0,747
20,0,735
441,0,673
182,0,741
595,0,714
69,0,728
3,0,722
487,0,688
432,0,713
642,1,755
96,0,766
72,0,785
512,0,676
547,0,795
235,0,810
158,0,768
26,0,806
653,0,758
505,0,731
2,1,707
149,0,675
82,0,752
148,0,691
522,0,711
476,0,842
416,0,668
15,0,762
1,0,791
652,0,794
308,0,677
0,0,710
143,0,723
451,0,771
410,0,667
439,0,697
267,0,818
546,0,836
508,0,750
53,0,681
305,0,785
152,0,730
409,0,670
61,0,714
169,0,709
458,1,767
40,1,843
58,0,788
598,0,823
422,0,671
219,0,841
172,0,691
598,0,683
504,0,678
280,1,742
384,0,675
272,0,802
261,0,757
457,1,715
550,0,674
8,0,740
64,0,695
311,0,834
11,0,710
77,0,825
516,0,758
61,1,681
225,0,825
492,0,754
599,0,732
191,0,695
411,0,753
183,0,786
7,0,793
75,0,688
13,0,756
427,0,724
379,0,830
179,0,702
502,0,743
6,0,786
472,0,756
352,0,810
388,0,757
330,0,690
222,0,811
214,0,757
602,0,762
446,1,715
238,0,843
13,0,811
461,0,762
370,0,828
36,0,803
533,0,689
72,0,822
200,0,713
193,0,703
428,0,727
425,1,761
559,0,691
17,0,726
268,0,725
567,0,693
353,0,797
255,0,749
273,1,698
13,0,765
168,0,844
54,0,842
182,0,693
577,0,814
35,0,808
4,0,835
370,1,795
409,0,671
587,0,793
588,0,710
216,0,744
144,0,826
83,1,765
56,0,755
146,0,819
152,0,691
268,0,666
149,0,823
109,0,707
