obj,rel,sbj
454.0,1.0,701.0
448.0,1.0,664.0
477.0,0.0,778.0
454.0,1.0,679.0
468.0,1.0,801.0
471.0,1.0,775.0
462.0,0.0,718.0
465.0,1.0,796.0
459.0,1.0,833.0
446.0,0.0,753.0
479.0,0.0,715.0
477.0,0.0,833.0
456.0,0.0,788.0
467.0,1.0,683.0
463.0,1.0,671.0
469.0,0.0,772.0
456.0,1.0,785.0
479.0,0.0,686.0
461.0,0.0,688.0
460.0,1.0,671.0
468.0,1.0,829.0
472.0,1.0,792.0
459.0,0.0,824.0
474.0,0.0,684.0
460.0,1.0,835.0
467.0,0.0,706.0
460.0,1.0,667.0
460.0,0.0,784.0
456.0,1.0,818.0
479.0,1.0,735.0
461.0,0.0,775.0
456.0,0.0,798.0
447.0,1.0,704.0
466.0,0.0,726.0
461.0,0.0,780.0
476.0,0.0,817.0
458.0,0.0,766.0
472.0,0.0,715.0
462.0,0.0,705.0
450.0,0.0,687.0
450.0,0.0,768.0
448.0,1.0,823.0
470.0,1.0,809.0
459.0,1.0,817.0
451.0,0.0,753.0
457.0,1.0,829.0
458.0,1.0,811.0
464.0,1.0,756.0
467.0,1.0,709.0
464.0,1.0,763.0
451.0,0.0,831.0
477.0,1.0,736.0
470.0,1.0,786.0
462.0,1.0,679.0
458.0,1.0,792.0
475.0,1.0,670.0
475.0,1.0,766.0
457.0,0.0,671.0
479.0,0.0,781.0
473.0,0.0,671.0
447.0,0.0,675.0
476.0,1.0,760.0
467.0,1.0,723.0
475.0,1.0,677.0
463.0,0.0,713.0
451.0,0.0,675.0
460.0,1.0,837.0
450.0,1.0,717.0
472.0,1.0,824.0
460.0,1.0,683.0
470.0,0.0,732.0
471.0,1.0,769.0
459.0,1.0,765.0
453.0,1.0,719.0
466.0,1.0,812.0
454.0,0.0,770.0
453.0,0.0,699.0
466.0,0.0,800.0
460.0,0.0,661.0
461.0,1.0,701.0
448.0,0.0,661.0
470.0,1.0,807.0
460.0,1.0,777.0
456.0,1.0,825.0
477.0,0.0,741.0
472.0,1.0,772.0
460.0,0.0,674.0
470.0,0.0,674.0
473.0,1.0,774.0
461.0,1.0,812.0
479.0,1.0,799.0
462.0,1.0,669.0
456.0,1.0,803.0
471.0,0.0,710.0
451.0,0.0,716.0
456.0,0.0,740.0
479.0,1.0,809.0
447.0,0.0,714.0
