obj,rel,sbj
0,0,104
1,0,104
2,0,104
3,0,104
4,0,104
5,0,104
3,0,105
4,0,105
5,0,105
2,0,105
0,0,105
1,0,105
6,0,106
8,0,106
9,0,106
10,0,106
11,0,106
12,0,106
14,0,106
2,0,106
0,0,106
1,0,106
15,0,106
16,0,106
17,0,106
18,0,106
19,0,106
20,0,106
21,0,106
22,0,106
23,0,106
24,0,106
25,0,106
26,0,106
27,0,106
28,0,106
29,0,106
30,0,106
31,0,106
32,0,106
33,0,106
34,0,106
35,0,106
36,0,106
37,0,106
38,0,106
39,0,106
40,0,106
41,0,106
42,0,106
43,0,106
44,0,106
46,0,106
47,0,106
48,0,106
3,0,106
5,0,106
4,0,106
49,0,106
50,0,106
51,0,106
52,0,106
53,0,106
54,0,106
55,0,106
56,0,106
57,0,106
58,0,106
59,0,106
60,0,106
61,0,106
62,0,106
63,0,106
64,0,106
65,0,106
66,0,106
67,0,106
68,0,106
69,0,106
70,0,106
71,0,106
72,0,106
73,0,106
74,0,106
75,0,106
76,0,106
77,0,106
78,0,106
79,0,106
80,0,106
81,0,106
82,0,106
83,0,106
84,0,106
85,0,106
86,0,106
87,0,106
88,0,106
89,0,106
90,0,106
91,0,106
92,0,107
35,0,107
36,0,107
37,0,107
38,0,107
2,0,107
0,0,107
1,0,107
3,0,107
4,0,107
5,0,107
92,0,104
35,0,104
36,0,104
37,0,104
38,0,104
31,0,104
34,0,107
34,0,108
34,0,109
31,0,110
31,0,111
31,0,112
31,0,113
31,0,105
92,0,105
35,0,105
36,0,105
37,0,105
38,0,105
47,0,107
93,0,105
13,1,107
13,0,109
13,1,104
94,0,106
94,0,107
95,0,107
96,0,107
27,1,105
27,0,104
31,1,107
31,1,109
0,0,109
2,0,109
80,0,107
80,1,105
97,0,107
30,1,105
30,0,107
90,1,107
90,0,105
90,0,109
90,1,104
14,1,107
14,1,105
14,0,109
14,1,104
33,0,107
33,1,105
33,0,109
84,0,105
36,0,109
82,0,107
35,1,108
32,0,104
32,1,105
32,0,107
45,1,105
45,1,107
45,0,109
45,1,104
60,1,105
60,1,107
60,0,109
60,0,104
5,0,109
66,0,104
66,1,105
9,0,107
9,0,109
9,0,104
98,0,106
98,0,107
99,0,106
99,0,105
10,1,105
10,0,107
10,0,109
10,0,104
23,1,107
7,1,105
7,1,107
7,1,104
21,1,107
21,1,105
21,0,109
21,1,104
62,1,107
62,0,104
3,0,109
67,1,105
67,1,107
67,0,109
100,0,107
1,0,109
79,0,107
79,1,105
101,1,105
101,1,107
101,1,104
102,1,106
102,1,105
103,1,105
103,1,106
