obj,rel,sbj
1,3,12
1,3,15
1,3,24
1,3,29
1,3,32
1,3,35
1,3,45
1,3,52
1,3,64
1,3,66
1,3,67
1,3,68
1,3,94
2,3,38
2,3,39
2,3,61
2,3,63
2,3,75
2,3,99
3,3,16
3,3,21
3,3,22
3,3,42
3,3,49
3,3,59
3,3,77
3,3,78
3,3,79
3,3,96
4,3,30
4,3,51
4,3,54
4,3,57
4,3,69
4,3,75
4,3,80
4,3,84
4,3,95
4,3,97
5,3,34
5,3,43
6,3,86
6,3,87
6,3,93
7,3,36
7,3,37
7,3,45
7,3,64
7,3,73
9,3,20
9,3,25
9,3,26
9,3,28
9,3,31
9,3,40
9,3,44
9,3,58
10,3,11
10,3,39
10,3,60
10,3,61
10,3,62
10,3,63
10,3,65
10,3,74
10,3,101
10,3,102
11,3,39
11,3,60
11,3,61
11,3,62
11,3,63
11,3,65
11,3,74
11,3,101
11,3,102
12,3,15
12,3,29
12,3,32
12,3,33
12,3,35
12,3,52
12,3,66
12,3,67
12,3,68
12,3,89
12,3,94
12,3,98
12,3,100
13,3,18
13,3,60
13,3,74
15,3,24
15,3,32
15,3,35
15,3,45
15,3,52
15,3,64
15,3,66
15,3,67
15,3,68
15,3,94
16,3,22
16,3,49
16,3,78
16,3,79
17,3,36
17,3,53
17,3,88
17,3,92
18,3,60
18,3,74
19,3,55
20,3,25
20,3,26
20,3,28
20,3,31
20,3,40
20,3,41
20,3,44
20,3,58
21,3,22
21,3,33
21,3,42
21,3,49
21,3,59
21,3,77
21,3,78
21,3,79
21,3,89
21,3,96
21,3,100
22,3,42
22,3,49
22,3,59
22,3,77
22,3,78
22,3,79
22,3,96
24,3,35
24,3,66
24,3,67
24,3,68
24,3,94
25,3,26
25,3,28
25,3,31
25,3,40
25,3,41
25,3,44
25,3,58
26,3,28
26,3,31
26,3,40
26,3,41
26,3,44
26,3,58
27,3,70
28,3,31
28,3,40
28,3,41
28,3,58
29,3,32
29,3,33
29,3,35
29,3,42
29,3,52
29,3,59
29,3,77
29,3,89
29,3,94
29,3,96
29,3,100
30,3,51
30,3,54
30,3,57
30,3,69
30,3,80
30,3,84
30,3,95
30,3,97
31,3,44
31,3,58
32,3,33
32,3,35
32,3,52
32,3,66
32,3,67
32,3,68
32,3,89
32,3,94
32,3,96
32,3,100
33,3,42
33,3,52
33,3,59
33,3,77
33,3,89
33,3,94
33,3,96
33,3,100
34,3,43
35,3,45
35,3,52
35,3,64
35,3,66
35,3,67
35,3,68
35,3,94
36,3,37
36,3,64
36,3,73
36,3,88
37,3,45
37,3,64
37,3,73
38,3,39
38,3,61
38,3,63
38,3,75
38,3,99
39,3,60
39,3,61
39,3,62
39,3,63
39,3,65
39,3,74
39,3,99
39,3,101
40,3,41
40,3,58
41,3,58
42,3,49
42,3,59
42,3,77
42,3,78
42,3,79
42,3,89
42,3,96
42,3,100
44,3,58
45,3,64
45,3,66
45,3,67
45,3,68
45,3,73
47,3,81
47,3,91
47,3,93
47,3,103
48,3,82
48,3,83
48,3,91
48,3,92
48,3,103
49,3,59
49,3,77
49,3,78
49,3,79
49,3,96
51,3,54
51,3,57
51,3,69
51,3,75
51,3,80
51,3,84
51,3,95
51,3,97
52,3,66
52,3,67
52,3,68
52,3,89
52,3,94
52,3,100
53,3,88
53,3,92
54,3,57
54,3,69
54,3,75
54,3,80
54,3,84
54,3,95
54,3,97
56,3,103
57,3,69
57,3,75
57,3,80
57,3,84
57,3,95
57,3,97
59,3,77
59,3,78
59,3,79
59,3,89
59,3,96
59,3,100
60,3,62
60,3,65
60,3,74
60,3,101
60,3,102
61,3,62
61,3,63
61,3,65
61,3,99
61,3,101
61,3,102
62,3,63
62,3,65
62,3,74
62,3,101
62,3,102
63,3,65
63,3,75
63,3,99
63,3,101
64,3,66
64,3,67
64,3,68
64,3,73
65,3,74
65,3,101
66,3,67
66,3,68
66,3,94
67,3,68
67,3,94
68,3,94
69,3,75
69,3,80
69,3,84
69,3,95
69,3,97
74,3,101
74,3,102
75,3,95
75,3,97
75,3,99
77,3,78
77,3,89
77,3,96
77,3,100
78,3,79
78,3,96
80,3,84
80,3,95
80,3,97
81,3,91
81,3,93
81,3,103
82,3,83
82,3,91
82,3,92
82,3,103
83,3,92
83,3,103
84,3,95
84,3,97
86,3,87
88,3,92
89,3,94
89,3,96
89,3,98
89,3,100
91,3,93
91,3,103
94,3,100
95,3,97
96,3,100
101,3,102
