obj,rel,sbj
101,1,104
68,0,106
33,0,107
1,0,107
60,1,107
31,0,113
39,0,106
63,0,106
14,1,107
57,0,106
90,1,104
31,1,107
0,0,104
60,0,109
96,0,107
85,0,106
93,0,105
35,0,106
35,1,108
62,0,106
14,0,109
31,0,106
78,0,106
38,0,105
103,1,106
9,0,109
3,0,105
67,1,107
50,0,106
1,0,106
35,0,104
49,0,106
79,0,106
45,1,105
82,0,106
2,0,104
30,0,107
30,0,106
21,1,107
10,0,106
1,0,105
83,0,106
37,0,106
70,0,106
38,0,107
65,0,106
23,0,106
4,0,107
94,0,106
101,1,107
94,0,107
14,0,106
89,0,106
2,0,106
98,0,106
14,1,105
44,0,106
92,0,104
3,0,104
3,0,107
37,0,104
3,0,106
36,0,107
18,0,106
103,1,105
97,0,107
38,0,104
31,0,112
46,0,106
33,0,106
66,0,106
4,0,106
99,0,106
66,0,104
23,1,107
24,0,106
1,0,109
34,0,107
31,0,104
13,1,104
10,0,109
5,0,109
90,0,106
5,0,106
13,1,107
67,0,109
42,0,106
34,0,106
21,1,104
45,1,107
72,0,106
66,1,105
15,0,106
32,0,104
56,0,106
91,0,106
80,0,106
37,0,107
7,1,104
31,0,111
31,0,110
47,0,107
0,0,109
99,0,105
27,1,105
81,0,106
9,0,107
21,0,109
98,0,107
36,0,109
27,0,104
19,0,106
34,0,109
45,1,104
33,1,105
71,0,106
102,1,105
69,0,106
1,0,104
13,0,109
20,0,106
67,0,106
35,0,107
60,0,106
10,0,104
75,0,106
74,0,106
4,0,104
86,0,106
34,0,108
2,0,107
9,0,104
54,0,106
31,0,105
61,0,106
16,0,106
32,0,106
33,0,109
58,0,106
9,0,106
90,0,105
101,1,105
32,0,107
62,1,107
84,0,106
47,0,106
59,0,106
90,1,107
0,0,105
29,0,106
26,0,106
10,1,105
48,0,106
67,1,105
82,0,107
5,0,107
2,0,109
45,0,109
51,0,106
52,0,106
80,1,105
95,0,107
87,0,106
53,0,106
28,0,106
88,0,106
60,1,105
62,0,104
41,0,106
2,0,105
43,0,106
79,1,105
14,1,104
79,3,94
51,3,65
43,3,87
15,3,49
3,3,96
52,3,89
19,3,40
36,3,45
73,3,83
2,3,54
14,3,95
21,3,64
12,3,59
0,3,35
57,3,101
81,3,93
17,3,56
25,3,26
38,3,61
54,3,65
12,3,42
6,3,85
48,3,81
34,3,51
4,3,30
35,3,73
28,3,46
20,3,46
32,3,94
48,3,86
0,3,15
67,3,94
12,3,45
59,3,100
87,3,103
