obj,rel,sbj
10.0,0.0,105.0
97.0,1.0,110.0
0.0,1.0,104.0
17.0,0.0,104.0
29.0,1.0,111.0
38.0,1.0,108.0
81.0,0.0,105.0
85.0,0.0,111.0
47.0,1.0,108.0
29.0,0.0,104.0
96.0,1.0,106.0
93.0,1.0,112.0
13.0,1.0,107.0
9.0,0.0,110.0
38.0,1.0,105.0
54.0,1.0,106.0
17.0,0.0,105.0
33.0,0.0,106.0
59.0,1.0,110.0
75.0,1.0,104.0
0.0,0.0,108.0
86.0,1.0,113.0
69.0,1.0,106.0
2.0,0.0,105.0
39.0,1.0,110.0
67.0,0.0,107.0
18.0,1.0,104.0
18.0,1.0,107.0
70.0,1.0,110.0
36.0,1.0,112.0
13.0,0.0,111.0
22.0,1.0,107.0
95.0,0.0,109.0
80.0,1.0,113.0
55.0,1.0,110.0
6.0,0.0,107.0
6.0,0.0,108.0
82.0,1.0,113.0
49.0,0.0,105.0
97.0,0.0,109.0
3.0,1.0,112.0
94.0,0.0,106.0
71.0,0.0,106.0
16.0,0.0,106.0
96.0,0.0,109.0
26.0,0.0,104.0
84.0,1.0,110.0
78.0,1.0,107.0
73.0,0.0,107.0
47.0,0.0,104.0
1.0,0.0,105.0
85.0,1.0,108.0
100.0,1.0,106.0
98.0,1.0,108.0
87.0,0.0,105.0
6.0,1.0,109.0
97.0,1.0,113.0
57.0,0.0,104.0
6.0,0.0,111.0
26.0,0.0,106.0
91.0,1.0,105.0
25.0,1.0,107.0
64.0,1.0,109.0
6.0,1.0,106.0
66.0,0.0,106.0
3.0,0.0,107.0
14.0,0.0,109.0
82.0,1.0,112.0
92.0,0.0,105.0
6.0,0.0,110.0
48.0,1.0,109.0
9.0,1.0,113.0
95.0,0.0,107.0
88.0,0.0,106.0
38.0,1.0,112.0
72.0,0.0,104.0
99.0,0.0,110.0
15.0,1.0,108.0
19.0,0.0,105.0
84.0,1.0,105.0
20.0,0.0,112.0
74.0,0.0,108.0
21.0,1.0,108.0
77.0,1.0,107.0
52.0,1.0,112.0
40.0,1.0,108.0
33.0,1.0,113.0
80.0,0.0,112.0
80.0,1.0,104.0
11.0,1.0,105.0
80.0,1.0,109.0
25.0,0.0,110.0
95.0,0.0,105.0
12.0,1.0,108.0
23.0,1.0,108.0
78.0,1.0,106.0
51.0,0.0,107.0
23.0,0.0,111.0
94.0,1.0,110.0
56.0,1.0,112.0
95.0,1.0,104.0
21.0,0.0,104.0
93.0,1.0,111.0
68.0,0.0,105.0
7.0,0.0,110.0
0.0,1.0,107.0
22.0,1.0,105.0
94.0,1.0,109.0
72.0,1.0,106.0
36.0,0.0,107.0
28.0,0.0,110.0
13.0,1.0,108.0
75.0,1.0,112.0
99.0,1.0,106.0
99.0,1.0,105.0
60.0,1.0,109.0
69.0,0.0,104.0
41.0,1.0,106.0
23.0,0.0,105.0
28.0,0.0,105.0
102.0,1.0,113.0
48.0,1.0,104.0
89.0,1.0,112.0
28.0,0.0,106.0
24.0,0.0,112.0
95.0,0.0,110.0
51.0,1.0,111.0
37.0,0.0,104.0
7.0,0.0,109.0
72.0,0.0,110.0
86.0,0.0,104.0
67.0,1.0,106.0
38.0,0.0,106.0
5.0,0.0,106.0
13.0,1.0,106.0
68.0,1.0,108.0
57.0,0.0,109.0
41.0,1.0,107.0
55.0,1.0,113.0
99.0,0.0,109.0
39.0,0.0,107.0
70.0,1.0,111.0
24.0,1.0,107.0
67.0,1.0,112.0
41.0,1.0,112.0
73.0,0.0,109.0
84.0,0.0,107.0
12.0,0.0,104.0
3.0,1.0,104.0
65.0,0.0,104.0
74.0,1.0,111.0
37.0,1.0,108.0
25.0,0.0,111.0
71.0,1.0,113.0
16.0,0.0,111.0
19.0,1.0,111.0
100.0,0.0,107.0
19.0,0.0,109.0
96.0,0.0,111.0
35.0,0.0,109.0
36.0,1.0,113.0
72.0,1.0,109.0
63.0,0.0,108.0
43.0,1.0,105.0
88.0,0.0,112.0
70.0,0.0,109.0
62.0,0.0,111.0
6.0,1.0,113.0
94.0,1.0,105.0
85.0,0.0,107.0
22.0,1.0,108.0
70.0,1.0,107.0
40.0,1.0,113.0
67.0,1.0,104.0
94.0,1.0,107.0
78.0,0.0,105.0
53.0,1.0,110.0
47.0,0.0,113.0
75.0,1.0,111.0
32.0,0.0,105.0
60.0,0.0,108.0
11.0,1.0,106.0
62.0,1.0,107.0
47.0,0.0,106.0
64.0,0.0,104.0
66.0,0.0,107.0
66.0,1.0,104.0
37.0,1.0,112.0
86.0,0.0,107.0
17.0,1.0,107.0
1.0,1.0,113.0
35.0,0.0,111.0
78.0,1.0,109.0
26.0,0.0,110.0
52.0,1.0,109.0
71.0,1.0,110.0
42.0,0.0,106.0
65.0,1.0,111.0
95.0,0.0,113.0
80.0,0.0,105.0
81.0,1.0,107.0
90.0,1.0,104.0
64.0,0.0,110.0
103.0,0.0,113.0
12.0,0.0,111.0
46.0,0.0,106.0
38.0,0.0,107.0
22.0,1.0,109.0
77.0,1.0,108.0
77.0,1.0,112.0
49.0,0.0,112.0
41.0,1.0,111.0
54.0,1.0,111.0
103.0,0.0,107.0
69.0,0.0,107.0
45.0,1.0,106.0
55.0,1.0,104.0
