obj,rel,sbj
0,1,57
0,0,47
0,0,42
0,0,36
0,0,45
1,1,53
1,1,54
1,0,39
1,0,52
1,0,47
1,0,42
1,0,45
1,0,59
2,0,45
2,0,42
2,0,52
2,0,47
2,1,57
2,0,36
2,0,39
2,0,59
3,0,47
3,0,42
3,0,45
3,0,59
4,1,60
5,0,42
5,0,47
5,0,39
5,0,34
5,0,45
5,0,59
6,0,42
6,0,39
6,0,38
6,0,48
7,0,52
7,0,47
7,0,42
7,1,34
7,0,39
8,1,50
8,0,48
1,1,38
1,1,75
1,1,76
1,1,64
1,1,77
1,0,46
1,1,73
1,1,61
1,1,78
1,1,65
1,1,35
1,1,79
1,1,67
1,1,49
1,1,63
1,1,50
0,1,38
0,1,68
0,1,62
0,0,46
9,1,74
9,0,61
9,0,40
10,1,55
10,1,48
10,1,80
11,0,40
11,0,61
2,1,38
2,0,61
2,1,50
2,1,41
2,1,72
2,1,67
2,1,70
2,1,37
2,1,51
12,1,41
7,1,58
7,1,38
7,0,61
13,1,56
13,1,57
13,1,38
13,1,75
13,1,71
13,0,46
13,1,40
13,1,41
13,0,47
13,1,37
3,1,69
3,1,81
6,1,81
6,0,40
6,0,51
6,0,61
6,1,37
5,1,68
5,1,37
5,0,50
5,1,75
5,0,67
5,1,72
3,0,43
3,0,44
3,0,66
2,0,43
2,0,66
1,0,66
1,0,44
1,0,43
15,0,45
15,0,66
15,0,44
15,0,43
15,0,42
16,0,66
16,0,42
16,0,45
16,0,44
16,0,43
17,0,44
17,0,43
17,0,66
17,0,42
17,0,45
18,0,66
18,0,42
18,0,44
18,0,43
18,0,45
19,0,44
19,0,43
19,0,42
19,0,66
19,0,45
7,0,44
7,0,43
7,0,66
7,0,45
5,0,43
5,0,66
0,0,44
0,0,43
0,0,66
20,0,43
20,0,44
20,0,66
20,0,45
20,0,42
21,0,42
21,0,66
21,0,44
21,0,43
21,0,45
22,0,43
22,0,44
22,0,66
22,0,42
22,0,45
11,0,45
11,0,43
11,0,44
11,0,66
13,0,66
13,0,44
13,0,43
13,0,42
13,0,45
23,0,44
23,0,43
23,0,42
23,0,66
23,0,45
24,0,45
24,0,44
24,0,43
24,0,42
24,0,66
25,0,44
25,0,43
25,0,45
25,0,66
25,0,42
26,0,66
26,0,43
26,0,44
26,0,45
26,0,42
27,0,66
27,0,43
27,0,44
27,0,45
27,0,42
28,0,43
28,0,44
28,0,45
28,0,42
28,0,66
29,0,43
29,0,44
29,0,42
29,0,66
29,0,45
30,0,66
30,0,43
30,0,44
30,0,45
30,0,42
31,0,43
31,0,44
31,0,66
31,0,45
31,0,42
6,0,43
6,0,44
6,0,66
6,0,45
9,0,45
9,0,43
9,0,44
9,0,66
9,0,42
32,0,66
32,0,43
32,0,44
32,0,42
32,0,45
33,0,44
33,0,43
33,0,45
33,0,66
33,0,42
14,0,44
14,0,43
14,0,42
14,0,66
14,0,45
