obj,rel,sbj
30,0,45
1,1,63
27,0,66
12,1,41
8,1,50
23,0,42
17,0,43
32,0,43
0,1,62
21,0,45
29,0,42
27,0,42
30,0,66
0,0,46
13,1,57
16,0,45
18,0,43
2,0,45
33,0,45
2,1,67
14,0,42
7,0,42
3,1,69
20,0,42
6,1,81
11,0,40
26,0,43
15,0,66
13,1,41
2,1,70
14,0,66
20,0,44
14,0,43
25,0,43
0,0,47
32,0,66
19,0,44
17,0,44
5,0,59
9,0,61
3,1,81
14,0,44
2,1,50
6,0,51
13,1,71
1,0,47
16,0,44
25,0,44
6,0,66
1,1,54
13,1,38
0,1,38
13,0,66
22,0,42
13,0,46
13,1,37
9,0,45
33,0,42
13,1,75
1,1,77
23,0,66
1,0,52
20,0,43
23,0,43
28,0,45
33,0,44
2,1,51
8,0,48
1,1,79
2,0,36
7,0,61
24,0,44
2,0,52
1,1,49
26,0,42
25,0,66
7,0,39
3,0,47
1,0,42
5,0,34
19,0,45
11,0,61
3,0,44
5,1,72
17,0,66
29,0,66
6,0,44
15,0,44
23,0,44
5,0,43
18,0,66
14,0,45
13,0,43
28,0,43
7,0,52
24,0,45
17,0,42
3,0,45
9,0,42
10,1,55
10,1,48
29,0,43
1,1,65
20,0,66
2,1,41
18,0,45
28,0,66
16,0,43
13,0,45
32,0,45
3,0,42
18,0,42
0,0,66
19,0,43
0,0,45
7,0,66
7,0,43
1,1,38
3,0,59
0,0,43
31,0,43
22,0,45
5,1,37
21,0,42
9,0,40
1,0,44
22,0,66
30,0,44
25,0,42
6,0,45
1,1,73
15,0,43
1,1,64
1,0,66
25,0,45
9,0,44
24,0,42
5,0,45
6,0,38
31,0,44
29,0,45
6,0,43
15,0,42
31,0,45
6,0,61
9,0,43
5,0,42
6,0,40
6,0,48
2,1,57
6,1,37
7,0,47
1,1,75
4,1,60
2,1,37
0,1,68
5,1,68
31,0,66
18,0,44
1,1,78
30,0,43
0,0,44
16,0,42
11,0,44
13,1,56
11,0,66
33,0,66
27,0,43
1,0,39
2,0,47
30,0,42
1,1,53
27,0,44
26,0,44
5,0,66
6,0,39
10,1,80
26,0,66
1,0,59
1,1,35
28,0,44
2,0,42
6,0,42
11,0,43
2,0,59
31,0,42
13,0,44
23,0,45
21,0,66
1,1,50
7,1,34
28,0,42
1,1,61
16,3,21
25,3,30
15,3,23
16,3,20
15,3,19
8,3,10
0,3,20
20,3,24
16,3,24
2,3,11
24,3,30
16,3,17
24,3,29
0,3,21
16,3,18
18,3,20
26,3,27
29,3,30
23,3,27
7,3,15
16,3,30
17,3,21
25,3,29
19,3,26
0,3,17
20,3,21
7,3,19
21,3,30
20,3,30
0,3,18
23,3,26
17,3,18
7,3,27
18,3,21
1,3,13
24,3,25
17,3,20
54,2,72
48,2,60
38,2,54
35,2,51
