index,name
661,Nilotinib
662,Dasatinib
663,Imatinib
664,Bosutinib
665,Ponatinib
666,Axitinib
667,Cabozantinib
668,Crizotinib
669,Foretinib
670,Vandetanib
671,Lorlatinib
672,Brigatinib
673,Ceritinib
674,Alectinib
675,Enzalutamide
676,Abiraterone
677,Flutamide
678,Sorafenib
679,Trametinib
680,Vemurafenib
681,Dabrafenib
682,Selumetinib
683,Plx-4720
684,Cobimetinib
685,Ibrutinib
686,Letrozole
687,Erlotinib
688,Capecitabine
689,Osimertinib
690,Lapatinib
691,Rociletinib
692,Afatinib
693,Gefitinib
694,Neratinib
695,Adenosine
696,Fulvestrant
697,Ruxolitinib
698,Amiloride
699,Verapamil
700,Sunitinib
701,Larotrectinib
702,Entrectinib
703,Crenolanib
704,Vismodegib
705,Irinotecan
706,Uprosertib
707,Capivasertib
708,Malathion
709,Pd-0325901
710,Pictilisib
711,Regorafenib
712,Nevirapine
713,Dactolisib
714,Fluorouracil
715,Ci-1040
716,Ro4987655
717,Rucaparib
718,Olaparib
719,Palbociclib
720,Aee-788
721,Dacomitinib
722,Pemetrexed
723,Staurosporine
724,Canertinib
725,Tamoxifen
726,Pazopanib
727,Quizartinib
728,Daunorubicin
729,Cytarabine
730,Ivosidenib
731,Temozolomide
732,Fedratinib
733,Midostaurin
734,Melphalan
735,Abemaciclib
736,Binimetinib
737,N-acetyl-l-arginine
738,Idelalisib
739,Aspirin
740,Apitolisib
741,Ch5132799
742,Alpelisib
743,Taselisib
744,Motesanib
745,Azd-1480
746,Phosphorylcolamine
747,Doxorubicin
748,Savolitinib
749,Amrubicin
750,Ly-294002
751,Azd-8055
752,Saridegib
753,Gemcitabine
754,Methotrexate
755,Thioguanine
756,Nelarabine
757,Icotinib
758,Gdc-0927
759,Anastrozole
760,Naquotinib
761,Wnt-974
762,Bazedoxifene
763,Azd-9496
764,M-2698
765,Ipatasertib
766,Cyclophosphamide
767,Topotecan
768,Berzosertib
769,Encorafenib
770,Refametinib
771,Cediranib
772,Sorbinil
773,Gsk2126458
774,Pimasertib
775,Panobinostat
776,Ulixertinib
777,Plx8394
778,Ro-5126766 free base
779,Bi 2536
780,Vorinostat
781,Gedatolisib
782,Raf-265
783,4-deoxylactose
784,Ribociclib
785,Ganetespib
786,Saracatinib
787,Tivozanib
788,Buparlisib
789,Pilaralisib
790,Mobocertinib
791,Poziotinib
792,Ns-018
793,Merestinib
794,Tazemetostat
795,Debio-1347
796,Lenvatinib
797,Infigratinib
798,Nintedanib
799,Brivanib
800,Derazantinib
801,Ly-2874455
802,Pexidartinib
803,Sotrastaurin acetate
804,Enzastaurin
805,Rigosertib
806,Sr9011
807,Sr9009
808,Niraparib
809,Decitabine
810,Azacitidine
811,Enasidenib
812,Momelotinib
813,Gandotinib
814,Tofacitinib
815,Flumatinib
816,Ripretinib
817,Mk-1775
818,Sonolisib
819,Zstk-474
820,Copanlisib
821,Leucovorin
822,Cudc-907
823,Azd-8330
824,Glesatinib
825,Capmatinib
826,6-o-phosphoryl inosine monophosphate
827,Dopamine
828,Cryptotanshinone
829,Selpercatinib
830,Sonidegib
831,Taladegib
832,Exemestane
833,Apr-246
834,Seliciclib
835,Alvespimycin
836,Epirubicin
837,Ifosfamide
838,Napabucasin
839,Tanespimycin
840,D-allopyranose
841,Lifirafenib
842,Agerafenib
843,Azd-4547
844,Ff-10101-01
