obj,rel,sbj,GT_1,GT_2,GT_3,GT_4,GT_5,GT_6,GT_7,GT_8,GT_9,GT_10,GT_11,GT_12,GT_13,GT_14,GT_15,GT_16,GT_17,GT_18,GT_19,GT_20,GT_21,GT_22,GT_23,GT_24,GT_25,GT_26,GT_27,GT_28,GT_29,GT_30,GT_31,GT_32,GT_33,GT_34,GT_35,GT_36,GT_37,GT_38,GT_39,GT_40,GT_41,GT_42,GT_43,GT_44,GT_45,GT_46,GT_47,GT_48,GT_49,GT_50,GT_51,GT_52,GT_53,GT_54,GT_55,GT_56,GT_57,GT_58,GT_59,GT_60,GT_61,GT_62,GT_63,GT_64,GT_65,GT_66,GT_67,GT_68,GT_69,GT_70,GT_71,GT_72,GT_73,GT_74,GT_75,GT_76,GT_77,GT_78,GT_79,GT_80,GT_81,GT_82,GT_83,GT_84,GT_85,GT_86,GT_87,GT_88,GT_89,GT_90,GT_91,GT_92,GT_93,GT_94,GT_95,GT_96,GT_97,GT_98,GT_99,GT_100,GT_101,GT_102,GT_103,GT_104,GT_105,GT_106,GT_107,GT_108,GT_109,GT_110,GT_111,GT_112,GT_113,GT_114,GT_115,GT_116,GT_117,GT_118,GT_119,GT_120,GT_121,GT_122,GT_123,GT_124,GT_125,GT_126,GT_127,GT_128,GT_129,GT_130,GT_131,GT_132,GT_133,GT_134,GT_135,GT_136,GT_137,GT_138,GT_139,GT_140,GT_141,GT_142,GT_143,GT_144,GT_145,GT_146,GT_147,GT_148,GT_149,GT_150,GT_151,GT_152,GT_153,GT_154,GT_155,GT_156,GT_157,GT_158,GT_159,GT_160,GT_161,GT_162,GT_163,GT_164,GT_165,GT_166,GT_167,GT_168,GT_169,GT_170,GT_171,GT_172,GT_173,GT_174,GT_175,GT_176,GT_177,GT_178,GT_179,GT_180,GT_181,GT_182,GT_183,GT_184,GT_185,GT_186,GT_187,GT_188,GT_189,GT_190,GT_191,GT_192,GT_193,GT_194,GT_195,GT_196,GT_197,GT_198,GT_199,GT_200,GT_201,GT_202,GT_203,GT_204,GT_205,GT_206,GT_207,GT_208,GT_209,GT_210,GT_211,GT_212,GT_213,GT_214,GT_215,GT_216,GT_217,GT_218,GT_219,GT_220,GT_221,GT_222,GT_223,GT_224,GT_225,GT_226,GT_227,GT_228,GT_229,GT_230,GT_231,GT_232,GT_233,GT_234,GT_235,GT_236,GT_237,GT_238,GT_239,GT_240,GT_241,GT_242,GT_243,GT_244,GT_245,GT_246,GT_247,GT_248,GT_249,GT_250,GT_251,GT_252,GT_253,GT_254,GT_255,GT_256,GT_257,GT_258,GT_259,GT_260,GT_261,GT_262,GT_263,GT_264,GT_265,GT_266,GT_267,GT_268,GT_269,GT_270,GT_271,GT_272,GT_273,GT_274,GT_275,GT_276,GT_277,GT_278,GT_279,GT_280,GT_281,GT_282,GT_283,GT_284,GT_285,GT_286,GT_287,GT_288,GT_289,GT_290,GT_291,GT_292,GT_293,GT_294
0,0,661,106.0,0.0,680.0,661.0,2.0,680.0,0.0,3.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,661,32.0,0.0,661.0,35.0,0.0,661.0,66.0,0.0,661.0,109.0,0.0,672.0,107.0,0.0,673.0,110.0,0.0,673.0,130.0,0.0,673.0,492.0,0.0,679.0,171.0,0.0,680.0,483.0,0.0,680.0,297.0,0.0,690.0,307.0,0.0,690.0,468.0,0.0,690.0,483.0,0.0,705.0,262.0,0.0,760.0,263.0,0.0,760.0,661.0,2.0,672.0,661.0,2.0,673.0,661.0,2.0,679.0,661.0,2.0,680.0,661.0,2.0,690.0,661.0,2.0,705.0,661.0,2.0,760.0,1.0,3.0,32.0,1.0,3.0,35.0,1.0,3.0,66.0,1.0,3.0,107.0,1.0,3.0,109.0,1.0,3.0,110.0,1.0,3.0,130.0,1.0,3.0,171.0,1.0,3.0,262.0,1.0,3.0,263.0,1.0,3.0,297.0,1.0,3.0,307.0,1.0,3.0,468.0,1.0,3.0,483.0,1.0,3.0,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,661,38.0,0.0,661.0,147.0,0.0,679.0,173.0,0.0,680.0,243.0,0.0,689.0,274.0,0.0,690.0,313.0,0.0,690.0,316.0,0.0,690.0,457.0,0.0,690.0,469.0,0.0,690.0,472.0,0.0,690.0,473.0,0.0,690.0,476.0,0.0,690.0,274.0,0.0,694.0,542.0,0.0,702.0,657.0,0.0,705.0,516.0,0.0,825.0,614.0,0.0,830.0,623.0,0.0,830.0,661.0,2.0,679.0,661.0,2.0,680.0,661.0,2.0,689.0,661.0,2.0,690.0,661.0,2.0,694.0,661.0,2.0,702.0,661.0,2.0,705.0,661.0,2.0,825.0,661.0,2.0,830.0,2.0,3.0,38.0,2.0,3.0,147.0,2.0,3.0,173.0,2.0,3.0,243.0,2.0,3.0,274.0,2.0,3.0,313.0,2.0,3.0,316.0,2.0,3.0,457.0,2.0,3.0,469.0,2.0,3.0,472.0,2.0,3.0,473.0,2.0,3.0,476.0,2.0,3.0,516.0,2.0,3.0,542.0,2.0,3.0,614.0,2.0,3.0,623.0,2.0,3.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,661,579.0,0.0,667.0,176.0,0.0,680.0,530.0,0.0,680.0,533.0,0.0,680.0,576.0,0.0,680.0,455.0,0.0,690.0,460.0,0.0,690.0,533.0,0.0,781.0,661.0,2.0,667.0,661.0,2.0,680.0,661.0,2.0,690.0,661.0,2.0,781.0,3.0,3.0,176.0,3.0,3.0,455.0,3.0,3.0,460.0,3.0,3.0,530.0,3.0,3.0,533.0,3.0,3.0,576.0,3.0,3.0,579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,661,147.0,0.0,679.0,381.0,0.0,680.0,532.0,0.0,680.0,243.0,0.0,689.0,274.0,0.0,690.0,459.0,0.0,690.0,472.0,0.0,690.0,274.0,0.0,694.0,294.0,0.0,694.0,295.0,0.0,694.0,459.0,0.0,694.0,358.0,0.0,797.0,516.0,0.0,825.0,621.0,0.0,830.0,661.0,2.0,679.0,661.0,2.0,680.0,661.0,2.0,689.0,661.0,2.0,690.0,661.0,2.0,694.0,661.0,2.0,797.0,661.0,2.0,825.0,661.0,2.0,830.0,4.0,3.0,147.0,4.0,3.0,243.0,4.0,3.0,274.0,4.0,3.0,294.0,4.0,3.0,295.0,4.0,3.0,358.0,4.0,3.0,381.0,4.0,3.0,459.0,4.0,3.0,472.0,4.0,3.0,516.0,4.0,3.0,532.0,4.0,3.0,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,661,474.0,0.0,690.0,477.0,0.0,690.0,359.0,0.0,797.0,661.0,2.0,690.0,661.0,2.0,797.0,5.0,3.0,359.0,5.0,3.0,474.0,5.0,3.0,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,662,214.0,0.0,685.0,455.0,0.0,692.0,460.0,0.0,692.0,662.0,2.0,685.0,662.0,2.0,692.0,3.0,3.0,214.0,3.0,3.0,455.0,3.0,3.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,662,84.0,0.0,662.0,265.0,0.0,662.0,568.0,0.0,685.0,243.0,0.0,692.0,244.0,0.0,692.0,249.0,0.0,692.0,251.0,0.0,692.0,252.0,0.0,692.0,315.0,0.0,692.0,459.0,0.0,692.0,472.0,0.0,692.0,662.0,2.0,685.0,662.0,2.0,692.0,4.0,3.0,84.0,4.0,3.0,243.0,4.0,3.0,244.0,4.0,3.0,249.0,4.0,3.0,251.0,4.0,3.0,252.0,4.0,3.0,265.0,4.0,3.0,315.0,4.0,3.0,459.0,4.0,3.0,472.0,4.0,3.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,662,474.0,0.0,692.0,477.0,0.0,692.0,662.0,2.0,692.0,5.0,3.0,474.0,5.0,3.0,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,662,38.0,0.0,662.0,99.0,0.0,662.0,569.0,0.0,685.0,243.0,0.0,692.0,246.0,0.0,692.0,252.0,0.0,692.0,313.0,0.0,692.0,315.0,0.0,692.0,457.0,0.0,692.0,469.0,0.0,692.0,472.0,0.0,692.0,473.0,0.0,692.0,476.0,0.0,692.0,662.0,2.0,685.0,662.0,2.0,692.0,2.0,3.0,38.0,2.0,3.0,99.0,2.0,3.0,243.0,2.0,3.0,246.0,2.0,3.0,252.0,2.0,3.0,313.0,2.0,3.0,315.0,2.0,3.0,457.0,2.0,3.0,469.0,2.0,3.0,472.0,2.0,3.0,473.0,2.0,3.0,476.0,2.0,3.0,569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
